email_text,email_text_clean,label,email_type,email_length,word_count,url_count,has_urls,urgent_word_count,has_urgent_words,money_word_count,has_money_words,exclamation_count,question_count,predicted_label,predicted_probability,confidence,error_type
world of clocks my order arrived yesterday via registered mail in good order the watch is beautiful and even better than i expected. try it for yourself u will be amazed! the worlds largest online retailer of luxury products including rolex sports models rolex datejusts breitling cartier porsche design dolce gabbana dior gucci hermes watches patek philippe visit URL PLACEHOLDER,world of clocks my order arrived yesterday via registered mail in good order the watch is beautiful and even better than i expected. try it for yourself u will be amazed! the worlds largest online retailer of luxury products including rolex sports models rolex datejusts breitling cartier porsche design dolce gabbana dior gucci hermes watches patek philippe visit URL PLACEHOLDER,1,Phishing Email,399,60,0,0,0,0,0,0,1,0,0,0.0006051058,0.9993949,False Negative
re python pep stdlib reorg cleanup brett cannon wrote subject python pep stdlib reorg cleanup bcc to stdlib sig after two false starts over the years of trying to cleanup and reorganize the stdlib creating a sig to get this going having guido give the pep the once over over the past several days and creating two new bugs reports issues and pep is finally ready for public vetting! whew! that s a big doc. all i have to say at the end of it is great job brett and all the stdlib sig! robert brewer EMAIL PLACEHOLDER python mailing list EMAIL PLACEHOLDER URL PLACEHOLDER unsubscribe URL PLACEHOLDER,re python pep stdlib reorg cleanup brett cannon wrote subject python pep stdlib reorg cleanup bcc to stdlib sig after two false starts over the years of trying to cleanup and reorganize the stdlib creating a sig to get this going having guido give the pep the once over over the past several days and creating two new bugs reports issues and pep is finally ready for public vetting! whew! that s a big doc. all i have to say at the end of it is great job brett and all the stdlib sig! robert brewer EMAIL PLACEHOLDER python mailing list EMAIL PLACEHOLDER URL PLACEHOLDER unsubscribe URL PLACEHOLDER,0,Safe Email,838,108,1,1,0,0,0,0,3,0,1,0.95331526,0.95331526,False Positive
denny salesperson aeschylus stearic captaincy snowflake terrapin thyratron? redpoll cap bimodal. paragonite difluoride fallacious plan roast mongolia mongolia vaccinate maul fallacious friedman cap. depreciable mongolia primitivism antelope afloat bob? captaincy elicit bob. occasion decreeing maul terrapin est emit momentary fallacious dishwasher afloat oedipus edith. terrapin vaudeville bob terrapin mongolia wine? aseptic desire rob. occasion primitivism.,denny salesperson aeschylus stearic captaincy snowflake terrapin thyratron? redpoll cap bimodal. paragonite difluoride fallacious plan roast mongolia mongolia vaccinate maul fallacious friedman cap. depreciable mongolia primitivism antelope afloat bob? captaincy elicit bob. occasion decreeing maul terrapin est emit momentary fallacious dishwasher afloat oedipus edith. terrapin vaudeville bob terrapin mongolia wine? aseptic desire rob. occasion primitivism.,1,Phishing Email,474,55,0,0,0,0,1,1,0,3,0,0.0004040083,0.99959606,False Negative
what they don t want you to know what it does to your body ! be the stud in and achieve all your dreams of super size! put on an average gain of . inches where it matters and all gains are permanent! URL PLACEHOLDER,what they don t want you to know what it does to your body ! be the stud in and achieve all your dreams of super size! put on an average gain of . inches where it matters and all gains are permanent! URL PLACEHOLDER,1,Phishing Email,242,45,1,1,0,0,0,0,3,0,0,0.49314672,0.5068533,False Negative
more massive love luger success favors only real men with huge dimensioned rods... become one of them! don t ever try it if your small intimate dimension isn t an issue! URL PLACEHOLDER went poorly.goals were still unformed. but he enjoyed being engaged in thehe began thinking about starting his own investment fund and trying,more massive love luger success favors only real men with huge dimensioned rods... become one of them! don t ever try it if your small intimate dimension isn t an issue! URL PLACEHOLDER went poorly.goals were still unformed. but he enjoyed being engaged in thehe began thinking about starting his own investment fund and trying,1,Phishing Email,338,55,1,1,0,0,0,0,2,0,0,0.10116816,0.89883184,False Negative
re saml dev nameid less saml subject i think the conclusion is that bearer subjectconfirmation doesn t strictly require a nameid. i don t think in general that any subject confirmation method requires one. confirmation is normally considering a case where somebody directly presents the assertion along with some proof of legitmacy in the case of bearer possibly only the time of presentation a client address etc. . in that model who is presenting the assertion is implicit and the data in the assertion is considered to be about that implicit identity. the nameid is simply one means of passing one type of such data. attributes are another. the main place we use nameid is in subsequent message exchanges such as singlelogout. scott to unsubscribe e mail EMAIL PLACEHOLDER for additional commands e mail EMAIL PLACEHOLDER,re saml dev nameid less saml subject i think the conclusion is that bearer subjectconfirmation doesn t strictly require a nameid. i don t think in general that any subject confirmation method requires one. confirmation is normally considering a case where somebody directly presents the assertion along with some proof of legitmacy in the case of bearer possibly only the time of presentation a client address etc. . in that model who is presenting the assertion is implicit and the data in the assertion is considered to be about that implicit identity. the nameid is simply one means of passing one type of such data. attributes are another. the main place we use nameid is in subsequent message exchanges such as singlelogout. scott to unsubscribe e mail EMAIL PLACEHOLDER for additional commands e mail EMAIL PLACEHOLDER,0,Safe Email,969,136,0,0,0,0,0,0,0,0,1,0.9617387,0.9617387,False Positive
re pathtools beta for testing tels i wonder why substr a is slower. my superificially informed guess is substr has to construct an lvalue on every invocation. the regex match just performs a test against a pattern so trivial that it turns into a simple string test returning just true or false. and for this pattern the biggest cost compiling the regex is paid once at compile time. it doesn t really surprise me that the latter ekes out an edge. regards aristotle pagaltzis,re pathtools beta for testing tels i wonder why substr a is slower. my superificially informed guess is substr has to construct an lvalue on every invocation. the regex match just performs a test against a pattern so trivial that it turns into a simple string test returning just true or false. and for this pattern the biggest cost compiling the regex is paid once at compile time. it doesn t really surprise me that the latter ekes out an edge. regards aristotle pagaltzis,0,Safe Email,525,84,0,0,0,0,1,1,0,0,1,0.6962946,0.6962946,False Positive
renowned watches reproduced for you our EMAIL PLACEHOLDER are the same as the original swiss watches but they cost much less! URL PLACEHOLDER,renowned watches reproduced for you our EMAIL PLACEHOLDER are the same as the original swiss watches but they cost much less! URL PLACEHOLDER,1,Phishing Email,138,23,1,1,0,0,1,1,2,0,0,0.02939003,0.97060996,False Negative
pyridine featherbed pest edifice finny invalid pyridine demurring? hydrology edifice levulose. hertzog isolde invalid knuckle patent levulose humboldt dine hydrology alps permitted dinah. alps arachnid eastbound pest pornography pyrophosphate? hermite motive permitted. pest pyridine iodinate motive furrow featherbed knuckle iodinate catnip fiction permitted catnip. isolde dinah pyridine alps levulose selenite? rubdown motive mediterranean. isolde toothpick.,pyridine featherbed pest edifice finny invalid pyridine demurring? hydrology edifice levulose. hertzog isolde invalid knuckle patent levulose humboldt dine hydrology alps permitted dinah. alps arachnid eastbound pest pornography pyrophosphate? hermite motive permitted. pest pyridine iodinate motive furrow featherbed knuckle iodinate catnip fiction permitted catnip. isolde dinah pyridine alps levulose selenite? rubdown motive mediterranean. isolde toothpick.,1,Phishing Email,475,55,0,0,0,0,0,0,0,3,0,0.001221233,0.99877876,False Negative
fw fill in your life with colors of festivity!!! receive our present for your feeling well!!!,fw fill in your life with colors of festivity!!! receive our present for your feeling well!!!,1,Phishing Email,94,16,0,0,0,0,0,0,6,0,0,0.00023947832,0.99976057,False Negative
